text,label
Win a free lottery now,spam
Claim your free prize today,spam
Limited time offer buy now,spam
Meeting scheduled for tomorrow,ham
Project deadline is next week,ham
Let's have lunch tomorrow,ham
Cheap medicines available online,spam
Congratulations you won a prize,spam
Team meeting at 10 am,ham
Submit the assignment today,ham
Free coupons available,spam
Exclusive deal just for you,spam
Family dinner tonight,ham
Important project discussion,ham
You have been selected for a reward,spam
Discount on electronics today,spam
Office meeting rescheduled,ham
Lunch with client tomorrow,ham
Buy one get one free offer,spam
Reminder for project submission,ham
Earn money quickly online,spam
Update the project documentation,ham
Win cash prize instantly,spam
Team outing planned this weekend,ham
Claim your reward now,spam
Discussion about new features,ham
Free tickets available,spam
Schedule the next meeting,ham
Huge discount on products,spam
Review the code changes,ham
Get rich fast scheme,spam
Prepare presentation for meeting,ham
Special promotion today,spam
Update the meeting notes,ham
Prize waiting for you,spam
Organize project files,ham
Lowest price guaranteed,spam
Discuss roadmap tomorrow,ham
Cash bonus offer,spam
Plan the sprint tasks,ham
Exclusive reward offer,spam
Update project tracker,ham
Win big money now,spam
Team standup meeting,ham
Limited discount today,spam
Prepare weekly report,ham
Special prize announcement,spam
Client meeting tomorrow,ham
Free reward coupons,spam
Submit the weekly summary,ham
